YEAR,ARTIST,ALBUM TITLE,APPROX. UK SALES TO SEPT 2010,APPROX. UK SALES TO 3 SEPT 2011,HIGHEST UK CHART POSITION*,GUARDIAN REVIEW LINK,GUARDIAN ALBUM PAGE
1992,Primal Scream,Screamadelica,650000,680000,8,http://www.guardian.co.uk/music/2004/jan/20/popandrock.primalscream,http://www.guardian.co.uk/music/album/48a1839c-f4e0-3223-831f-fc36ca6ff7cf
1993,Suede,Suede,340000,340000,1,http://www.guardian.co.uk/music/2002/nov/05/artsfeatures.popandrock,http://www.guardian.co.uk/music/album/85913ff9-f07e-34a9-85f4-eee5140a5881
1994,M People,Elegant Slumming,835000,835000,2,http://www.guardian.co.uk/uk/2005/sep/07/rock.arts,http://www.guardian.co.uk/music/album/6f9399f2-896a-33ba-958a-a1e32c989681
1995,Portishead,Dummy,815000,825000,2,http://www.guardian.co.uk/music/2008/apr/10/popandrock.portishead,http://www.guardian.co.uk/music/album/48140466-cff6-3222-bd55-63c27e43190d
1996,Pulp,Different Class,1240000,1255000,1,http://www.guardian.co.uk/music/2006/sep/01/popandrock.shopping5,http://www.guardian.co.uk/music/album/88f69eab-8f07-343b-847c-b944ad33dfcf
1997,Roni Size / Reprazent,New Forms,325000,325000,8,http://www.guardian.co.uk/music/2008/feb/21/urbanmusic.popandrock,http://www.guardian.co.uk/music/album/70fe8c14-6a76-33d5-a4f4-e2cb5556611f
1998,Gomez,Bring It On,480000,480000,11,http://www.guardian.co.uk/lifeandstyle/2002/mar/15/shopping.artsfeatures2,http://www.guardian.co.uk/music/album/64451ac7-b74c-327a-b5e9-a825ef263411
1999,Talvin Singh,OK,90000,90000,41,http://www.guardian.co.uk/lifeandstyle/2001/mar/23/shopping.culture3,http://www.guardian.co.uk/music/album/1a203a3e-4663-3a09-a9d1-b3673f8949e5
2000,Badly Drawn Boy,The Hour Of Bewilderbeast,450000,455000,13,http://www.guardian.co.uk/lifeandstyle/2002/apr/05/shopping.artsfeatures,http://www.guardian.co.uk/music/album/b53623c2-266f-393f-9bc5-71eaac3b5a31
2001,PJ Harvey,"Stories From The City, Stories From The Sea",265000,270000,23,http://www.guardian.co.uk/culture/2001/sep/14/artsfeatures.mercuryprize2002,http://www.guardian.co.uk/music/album/71641af7-d122-326a-b0bb-f76a8d09810c
2002,Ms. Dynamite,A Little Deeper,490000,495000,10,http://www.guardian.co.uk/lifeandstyle/2002/jun/07/shopping.artsfeatures,http://www.guardian.co.uk/music/album/40716dae-d035-3e99-aded-581a1c811945
2003,Dizzee Rascal,Boy In Da Corner,255000,260000,23,http://www.guardian.co.uk/music/2003/jul/18/popandrock.artsfeatures,http://www.guardian.co.uk/music/album/01ac6115-0ea4-346d-b022-5bcde31c6264
2004,Franz Ferdinand,Franz Ferdinand,1265000,1270000,3,http://www.guardian.co.uk/music/2004/jan/30/popandrock.shopping,http://www.guardian.co.uk/music/album/c145ca26-2556-3780-828f-82729de51f7b
2005,Antony and the Johnsons,I Am A Bird Now,215000,220000,16,http://www.guardian.co.uk/music/2005/mar/11/popandrock.shopping5,http://www.guardian.co.uk/music/album/63373d83-a96e-355c-aa44-837db92c2193
2006,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",1345000,1380000,1,http://www.guardian.co.uk/music/2007/jan/26/popandrock5,http://www.guardian.co.uk/music/album/6c9c4985-3628-3070-b956-b538f30c9bea
2007,Klaxons,Myths Of The Near Future,335000,340000,2,http://www.guardian.co.uk/music/2007/jan/26/popandrock5,http://www.guardian.co.uk/music/album/e46c2970-bc74-3f6e-add9-fcf8e87a5c4f
2008,Elbow,The Seldom Seen Kid,785000,860000,5,http://www.guardian.co.uk/music/2008/mar/14/popandrock.shopping,http://www.guardian.co.uk/music/album/e7750214-a944-370f-a68e-99e63cda4758
2009,Speech Debelle,Speech Therapy,15000,15000,65,http://www.guardian.co.uk/music/2009/may/29/speech-debelle-speech-therapy-review,http://www.guardian.co.uk/music/album/9832c571-2b95-42f9-993d-fcb8e2e4bf26
2010,The xx,XX,215000,405000,3,http://www.guardian.co.uk/music/2009/jul/12/xx-album-review,http://www.guardian.co.uk/music/album/23355caf-a543-4b5f-80fe-449101868fc1
2011,PJ Harvey,Let England Shake,-,75000,8,http://www.guardian.co.uk/music/2011/feb/10/pj-harvey-let-england-shake-review,http://www.guardian.co.uk/music/album/9d504fde-1b02-4c14-b484-bcf94570153a
,,,,,,,
* Data as of 3 September 2011,,,,,,,
DATALINK,http://www.theofficialcharts.com,,,,,,
SOURCE,The Official Charts Company,,,,,,
