"Time (Approx), if known",Date,Day (from noon to 6am),Place,Location details,Local authority,What happened?,Source,Picture links,Icon name
18:15:00,"August 4, 2011",Thursday,Minicab,"Ferry Lane, junction with Jarrow Road, Tottenham Hale, N15",Haringey,29-year-old father of four Mark Duggan shot by police,Met Police press office,,capital_small
17:30:00,"August 6, 2011",Saturday,Tottenham Police Station,"398 High Rd, Haringey, London N17 9JA",Haringey,"Peaceful protest begins, consisting of local residents, community leaders, and some of Mark Duggan's relatives",,,placemark_circle
20:30:00,"August 6, 2011",Saturday,Tottenham Police Station,"398 High Rd, Haringey, London N17 9JA",Haringey,"Rioters broke through police ranks and attempted to storm Tottenham's police station, pelting officers with bricks, bottles and eggs. As a police helicopter flew over Tottenham High Road, youths in masks and hoods added combustible material to two burned out police cars, included a bundle of documents and an awning ripped down from one of the shops.",Live blog,,placemark_circle
0:35:00,"August 6, 2011",Saturday,Carpetright shop,Tottenham Hale,Haringey,Set on fire,Live blog,,placemark_circle
0:35:00,"August 6, 2011",Saturday,Post Office,Tottenham Hale,Haringey,Set on fire,Live blog,,placemark_circle
1:30:00,"August 6, 2011",Saturday,Boots,"Unit 2a, Tottenham Hale retail Park, Broad Lane, London N15 4QD",Haringey,"Looters attacked shelves, tills and storage areas",http://www.guardian.co.uk/uk/2011/aug/07/tottenham-riots-peaceful-protest,,placemark_circle
1:30:00,"August 6, 2011",Saturday,JD Sports,"Unit A1, Tottenham Hale retail Park, Broad Lane, London N15 4QD",Haringey,"Looters attacked shelves, tills and storage areas",http://www.guardian.co.uk/uk/2011/aug/07/tottenham-riots-peaceful-protest,,placemark_circle
1:30:00,"August 6, 2011",Saturday,O2,"Unit C4, Tottenham Hale retail Park, Broad Lane, London N15 4QD",Haringey,"Looters attacked shelves, tills and storage areas",http://www.guardian.co.uk/uk/2011/aug/07/tottenham-riots-peaceful-protest,,placemark_circle
1:30:00,"August 6, 2011",Saturday,Currys,"Unit 1, Tottenham Hale retail Park, Broad Lane, London N15 4QD",Haringey,"Looters attacked shelves, tills and storage areas",http://www.guardian.co.uk/uk/2011/aug/07/tottenham-riots-peaceful-protest,,placemark_circle
1:30:00,"August 6, 2011",Saturday,Argos,"2, Tottenham Hale retail Park, Broad Lane, London N15 4QD",Haringey,"Looters attacked shelves, tills and storage areas",http://www.guardian.co.uk/uk/2011/aug/07/tottenham-riots-peaceful-protest,,placemark_circle
1:30:00,"August 6, 2011",Saturday,PC World,"Unit 4a, Tottenham Hale retail Park, Broad Lane, London N15 4QD",Haringey,"Looters attacked shelves, tills and storage areas",http://www.guardian.co.uk/uk/2011/aug/07/tottenham-riots-peaceful-protest,,placemark_circle
1:30:00,"August 6, 2011",Saturday,Comet,"2, Tottenham Hale retail Park, Broad Lane, London N15 4QD",Haringey,"Looters attacked shelves, tills and storage areas",http://www.guardian.co.uk/uk/2011/aug/07/tottenham-riots-peaceful-protest,,placemark_circle
2:30:00,"August 6, 2011",Saturday,H&M,"Ground floor, Wood Green Mall, 159 High Road
Wood Green
N22 6YQ",Haringey,Shop looted,http://www.guardian.co.uk/uk/2011/aug/07/tottenham-riots-peaceful-protest,,placemark_circle
2:30:00,"August 6, 2011",Saturday,HMV,"Ground floor, Wood Green Mall, 159 High Road
Wood Green
N22 6YQ",Haringey,Shop looted,http://www.guardian.co.uk/uk/2011/aug/07/tottenham-riots-peaceful-protest,,placemark_circle
3:45:00,"August 6, 2011",Saturday,Haringey Magistrates Court,"Lordship Lane
Tottenham
Haringey
London N17 6RT",Haringey,"Windows smashed, rooms damaged",http://www.guardian.co.uk/uk/2011/aug/07/tottenham-riots-peaceful-protest,,placemark_circle
,"August 7, 2011",Monday,Harringay Arena Shopping centre,"Haringey, London, N4 1ED",Haringey,Shops looted,,,placemark_circle
