Authority,Average sync speed (Mbit/s),Average sync speed score,Percentage not receiving 2Mbit/s,Percentage not receiving 2Mbit/s score,Superfast broadband availability,Superfast broadband availability score,Take-up (excluding superfast broadband),Take-up (excluding superfast broad - band) score,Overall score
Aberdeen City,7.4,4,12.2%,3,0%,5,74%,2,3
Aberdeenshire,6.1,4,15.2%,4,0%,5,72%,2,4
Abertawe - Swansea,8.2,3,12.6%,3,68%,3,63%,3,2
Angus,7.1,4,12.6%,3,14%,5,65%,3,4
Antrim,5.8,5,24.4%,5,98%,1,64%,3,3
Ards,6.4,4,17.2%,4,97%,1,64%,3,2
Argyll and Bute,6,4,13.7%,3,0%,5,63%,3,4
Armagh,5.3,5,30.2%,5,94%,1,58%,4,4
Ballymena,5.2,5,26.8%,5,97%,1,60%,3,3
Ballymoney,5.8,5,26.9%,5,88%,2,59%,4,4
Banbridge,6.1,4,24.7%,5,90%,1,61%,3,3
Barnsley District,6.9,4,18.7%,4,72%,2,59%,4,3
Bath and North East Somerset,7.2,4,15.2%,4,77%,2,76%,2,2
Bedford,7.1,4,18.5%,4,80%,2,73%,2,2
Belfast,8.9,3,8.4%,2,97%,1,60%,3,1
Birmingham District,8.9,3,8.3%,2,86%,2,64%,3,2
Blackburn with Darwen,7.3,4,13.2%,3,62%,3,63%,3,3
Blackpool,9.5,3,7.1%,2,63%,3,61%,3,2
Blaenau Gwent - Blaenau Gwent,7.5,4,13.7%,3,0%,5,54%,4,4
Bolton District,8.2,3,11.9%,3,83%,2,64%,3,2
Bournemouth,9,3,8%,2,79%,2,68%,3,2
Bracknell Forest,6.1,4,24.9%,5,84%,2,77%,2,3
Bradford District,8.3,3,10.8%,3,81%,2,62%,3,2
Bro Morgannwg - the Vale of Glamorgan,7.5,4,14.6%,3,63%,3,70%,2,2
Buckinghamshire County,6.4,4,16.9%,4,67%,3,78%,2,3
Bury District,7.1,4,13.4%,3,90%,1,64%,3,2
Caerdydd - Cardiff,7.8,4,16%,4,89%,2,68%,3,3
Caerffili - Caerphilly,6,4,25%,5,33%,4,61%,3,4
Calderdale District,6.8,4,16.6%,4,56%,3,61%,3,3
Cambridgeshire County,7.2,4,15.8%,4,53%,3,74%,2,3
Carrickfergus,5.4,5,28.2%,5,99%,1,60%,3,3
Casnewydd - Newport,7.5,4,15.3%,4,65%,3,64%,3,3
Castell-nedd Port Talbot - Neath Port Talbot,7.6,4,15.9%,4,58%,3,60%,3,3
Castlereagh,7.1,4,18%,4,97%,1,63%,3,2
Central Bedfordshire,7.5,4,13.8%,3,67%,3,73%,2,2
Cheshire East,6.7,4,16.9%,4,67%,3,71%,2,3
Cheshire West and Chester,6.7,4,17%,4,43%,4,70%,2,3
City of Bristol,9.9,3,4.5%,1,90%,1,71%,2,1
City of Derby,8.4,3,11.1%,3,89%,2,65%,3,2
City of Edinburgh,10.1,2,4.5%,1,82%,2,69%,3,1
City of Kingston upon Hull,6.4,4,9.7%,2,0%,5,50%,4,4
