"Refugees and people in a refugee-like situation, excluding asylum-seekers, and changes by origin and country of asylum, 2009",,,,,,,,,,,,,,,,,,,,
"The refugee population is included in this table if the number was 5,000 or more at the end of 2009.",,,,,,,,,,,,,,,,,,,,
"N.B. For 24 industrialized countries, UNHCR has estimated the refugee population based on 10 years of asylum-seeker recognition.",,,,,,,,,,,,,,,,,,,,
"The columns ""Major increases"" and ""Major decreases"" exclude population changes resulting from administrative corrections, adjustments as a result of registration, new estimates as well as births and deaths. In some cases, the population at the end of 2009 does not equal the population at the start of 2009 plus increases and decreases. This discrepancy is due to the fact that the voluntary repatriation figures include estimates from countries of return. In addition, the full details of the changes in the refugee population in industrialized countries are often unknown.",,,,,,,,,,,,,,,,,,,,
"Voluntary repatriation* shows a best estimate, based on country of asylum and country of origin reports. Numbers below 5 have been replaced with an asterisk.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Population start-2009,,Major increases,,,,,,Major decreases during 2009,,,,,,,,,Population end-2009,
,Country/,,,Spont. arrivals,,,,,,Voluntary repatriation*,,Resettlement,,,,,,,,
,territory,,of whom:,,,Resettle-,,,,,of whom:,,of whom:,,,Other,,,,of whom:
,of,,UNHCR-,Prima,Indiv.,ment,Other,,,,UNHCR-,,UNHCR-,Cessa-,Natura-,decr-,,,,UNHCR-
Origin,asylum,Total,assisted,facie,recogn.,arrivals,increases,Births,Total,Total,assisted,Total,assisted,tion,lization,eases,Deaths,Total,Total,assisted
Afghanistan,Australia,4933,0,0,911,853,0,0,1764,1,1,0,0,0,0,0,0,1,5664,0
Afghanistan,Austria,5387,0,0,1122,0,0,0,1122,0,0,0,0,0,0,0,0,0,6401,0
Afghanistan,Denmark,5214,0,0,213,21,0,0,234,0,0,0,0,0,0,0,0,0,5026,0
Afghanistan,Germany,25108,0,0,952,0,0,0,952,6,6,0,0,0,0,0,0,6,30320,0
Afghanistan,India,8441,8441,0,474,0,118,195,787,19,17,99,90,0,250,39,293,700,8528,8528
Afghanistan,Islamic Rep. of Iran,935595,935595,0,86,0,0,93385,93471,6028,6028,594,594,0,0,0,0,6622,1022494,1022494
Afghanistan,Netherlands,13477,0,0,285,2,0,0,287,5,5,0,0,0,0,0,0,5,9383,0
Afghanistan1,Pakistan,764935,764935,0,380,0,9051,35726,45157,51290,51290,153,153,0,0,0,33,51476,1739935,1739935
Afghanistan,United Kingdom,23079,0,0,1785,0,0,0,1784,99,99,0,0,0,0,0,0,99,23658,0
Albania,United States,7232,0,0,245,1,0,0,246,0,0,0,0,0,481,0,0,481,6720.6,0
Angola,Dem. Rep. of the Congo,111589,1757,80,0,0,0,0,80,2,2,0,0,0,0,0,27295,27297,84374,1757
Angola,Namibia,5916,5916,0,0,0,103,64,167,144,144,0,0,0,0,15,0,159,5924,5924
Angola,South Africa,5751,0,0,7,0,0,0,7,1,1,0,0,0,0,0,0,1,5758,0
Angola,Zambia,27131,18882,0,0,0,534,0,534,2295,2184,0,0,0,0,41,0,2336,25329,17080
Armenia,United States,7731.4,0,0,285,4,0,0,289,0,0,0,0,0,230,0,0,230,7569,0
Azerbaijan,Germany,5315,0,0,53,0,0,0,53,0,0,0,0,0,0,0,0,0,6063,0
Bhutan,Nepal,102087,102087,0,17,0,1607,0,1624,0,0,17428,17428,0,0,375,0,17803,88205,85908
Bosnia and Herzegovina,Germany,24697,0,0,13,0,0,0,13,117,0,0,0,0,0,0,0,117,24947,0
Bosnia and Herzegovina,Montenegro,6168,6168,0,0,0,16,0,16,8,8,0,0,0,283,52,205,548,5636,5636
Bosnia and Herzegovina,Serbia,27165,27165,0,0,0,0,0,0,36,0,0,0,0,0,1,3006,3043,24154,24154
Burundi,Dem. Rep. of the Congo,17588,639,0,0,0,8,0,8,95,95,11,11,0,0,0,0,106,17585,766
Burundi,United Rep. of Tanzania,240480,240480,0,4,0,2005,1954,3963,29115,29115,664,664,0,155051,0,6265,191095,53823,53823
Cambodia,France,13195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13122,0
Cameroon,United States,7278.6,0,0,417,3,0,0,420,0,0,0,0,0,116,0,0,116,7420,0
Central African Rep.,Cameroon,66602,66602,14708,1238,0,3686,0,19632,37,32,21,15,0,0,251,101,410,85824,85824
Central African Rep.,Chad,52258,52258,17163,0,0,1521,0,18684,0,0,57,57,0,0,325,4545,4927,71015,66015
Chad,Cameroon,8773,8773,0,358,0,164,79,601,1000,16,8,8,0,0,20,4,1032,8342,8342
Chad,Sudan,7380,7380,0,81,0,272,821,1174,781,0,0,0,0,0,3,0,784,41138,8870
China,Canada,15585,0,0,991,15,0,0,1006,0,0,0,0,0,0,0,0,0,16075,0
China,India,100003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100003,3
China,United States,47277.2,0,0,5852,77,0,0,5929,0,0,0,0,0,1318,0,0,1318,51480.2,0
