Name of Contract,Brief contract description,Location,Date,Value (£)
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=112895&fs=true"">National Spatial Planning Arrangement 2011-2015 LOTS 1-7</a>","
T's involvement in Land use and Spatial Planning. Much of the work is carried out on statutory b",United Kingdom,.19/04/2015.,"360,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=88190&fs=true"">Energy Contract between NDA and EDF Energy Plc</a>","
The parties entered into an ISDA Master Agreement for power, gas and carbon under which the NDA will sell the output from its generating stations to E",Cumbria,.31/12/2014.,"300,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=26335&fs=true"">The Provision of Facilities Management Direct Services – Germany</a>","
Provision of the hard facilities management (FM) service in support of the British Forces stationed in Germany. The Hard FM service shall comprise of:",Glasgow City,.03/03/2016.,"199,545,792"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=19664&fs=true"">Provison of Catering (including Food Supply), Hotel, Retail and Leisure Services to the RAF (Super CRL)</a>","
The provison of catering services (including food supply), hotel, retail and leisure services at various RAF Stations across the UK. ",United Kingdom,.24/02/2018.,"150,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=93477&fs=true"">Teachers Pension Service</a>","
Administration of the Teachers Pension Service",Darlington,.27/10/2018.,"80,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=26342&fs=true"">HA13/1/841 (OJ192) Property Management & Disposals Contract</a>","
Managing and disposing of property purchased for road infrastructure projects, obtaining best value for the taxpayer from the property portfolio by fo",United Kingdom,.31/03/2016.,"60,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=6731&fs=true"">Digital Continuity</a>","
The provision to the public sector and associated bodies of a comprehensive range of Digital Continuity solutions",United Kingdom,.17/02/2013.,"50,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=62919&fs=true"">Multidisciplinary Panel 2010-2014</a>","
GENERAL SERVICES MANAGEMENT OF MULTI-DISCIPLINARY CONSORTIUM/ TEAM 1. Provide a single management team to achieve best value, cost control and report",London,.17/08/2014.,"50,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=62910&fs=true"">Propety Panel Framework Contract</a>","
Scope of Services 1. Property consultancy services (including a full spectrum of housing delivery strategies, financial and ",London,.27/05/2014.,"50,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=62917&fs=true"">Legal Services Framework Contract 2010-2014</a>","
1. The Consultant will provide to the Agency, legal services including but not limited to services in the following areas of law: [DN: National Panel]",London,.01/04/2014.,"32,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=69940&fs=true"">Charter of Ice Patrol Ship</a>","
Charter of a vessel to act as the UK Ice Patrol Ship, operating under the White Ensign, for 3 years firm from early 2011, with 2 x 1 year options to e",Portsmouth,.07/04/2014.,"26,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=62877&fs=true"">Future Power</a>","
Provision of the Future Power capability",United Kingdom,.01/04/2017.,"24,261,874"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=45003&fs=true"">NMS Programme for Engineering and Flow Metrology 2008 - 2013 (Amendment 6)</a>","
The mission of the Programme is to support technological innovation through the provision of measurement capability, ensure cost effective, valid and ",Teddington,.08/04/2016.,"23,836,121"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=114807&fs=true"">UK-London: IT services: consulting, software development, Internet and support</a>","
The Ministry of Justice (MoJ) has established the Shared Services Programme (SSP) to deliver a common operating model for its back-office functions (H",Inner London - West,.17/05/2016.,"22,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=80930&fs=true"">Heavy Replenishment at Sea Demonstrator & Future Replenishment at Sea Trainer</a>","
Heavy Replenishment at Sea Demonstrator and Future Replenishment at Sea Trainer.",United Kingdom,.15/08/2015.,"21,296,987"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=45031&fs=true"">Supply & delivery of Marine fuels</a>","
Supply & delivery of Marine fuels",Southampton,.17/01/2013.,"20,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=105653&fs=true"">Engineering Panel 2011-2015</a>","
Engineering (General Services); Transport and Highways Engineering; Water;Geotechnical and Remediation; Environmental Engineering; Structural Engineer",London,.11/01/2015.,"20,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=91754&fs=true"">Provision of a Second Class Mail Service</a>","
A second class mail service that covers the daily collection and delivery of Down Stream Access Mail from DWP sites to customer addresses throughout t",United Kingdom,.26/04/2012.,"19,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=114817&fs=true"">UK-London: IT services: consulting, software development, Internet and support</a>","
The Ministry of Justice (MoJ) has established the Shared Services Programme to deliver a Common Operating Model for its back-office functions (Human R",Inner London - West,.17/05/2016.,"18,500,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=131485&fs=true"">PROVISION OF ELECTIVE SECONDARY HEALTHCARE TO MILITARY PERSONNEL</a>","
PROVISION OF ELECTIVE SECONDARY HEALTHCARE TO MILITARY PERSONNEL FROM 1ST APRIL 2011 TO 31ST MARCH 2013.","Surrey, East and West Sussex",.31/03/2013.,"16,058,781"
